uid,title,shortTitle,category,lane,sub,start,endKnown,endInferred,href,source,firstSeenAt,lastSeenAt,lastScrapedAt,status
f529e3c6117cbffc,Celesteela and Kartana in 5-star Raid Battles,Celesteela and Kartana,Raid Battles,raids,5-Star Raid Battles,2026-06-24T00:00:00,2026-06-30T00:00:00,,https://leekduck.com/events/celesteela-kartana-in-5-star-raid-battles-june-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:03Z,active
b11918fd4d7b20c0,Mega Pidgeot in Mega Raids,Mega Pidgeot,Raid Battles,raids,Mega Raid Battles,2026-06-24T06:00:00,2026-07-01T06:00:00,,https://leekduck.com/events/mega-pidgeot-in-mega-raids-june-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:03Z,active
3004cc9c4aafbd32,Celesteela and Kartana Raid Hour,Celesteela and Kartana,Raid Hour,weekly,Raid Hour,2026-06-24T18:00:00,,2026-06-24T19:00:00,https://leekduck.com/events/raidhour20260624,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:04Z,active
4628a45d2ecf0d82,Flying Taxi: Taken Over,Flying Taxi: Taken Over,Event,theme,Theme Event A,2026-06-25T00:00:00,2026-06-29T20:00:00,,https://leekduck.com/events/flying-taxi-taken-over-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:04Z,active
ce9142908c1cc958,Mega Raid Day,Mega Raid Day,Raid Day,raids,Mega Raid Battles,2026-06-27T14:00:00,,2026-06-27T17:00:00,https://leekduck.com/events/raid-day-june-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:04Z,active
bd4a2625927ea74b,Dynamax Pidove during Max Monday,Max Pidove,Max Mondays,weekly,Max Mondays,2026-06-29T06:00:00,,2026-06-29T21:00:00,https://leekduck.com/events/max-mondays-2026-06-29,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:05Z,active
b2f84fc05dffffcf,Great League and Summer Cup: Great League Edition | Forever Forward,Great League and Summer Cup: Great League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-06-30T20:00:00Z,2026-07-07T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_summer-cup-great-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:52Z,active
f03b2c748a8872bb,July Community Day,July Community Day,Community Day,community,Community Day,2026-07-04T14:00:00,2026-07-04T17:00:00,2026-07-04T17:00:00,https://leekduck.com/events/july-communityday2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:05Z,active
f2e1753f297d8561,Ultra League and Fantasy Cup: Ultra League Edition | Forever Forward,Ultra League and Fantasy Cup: Ultra League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-07-07T20:00:00Z,2026-07-14T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_ultra-league_fantasy-cup-ultra-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:53Z,active
f6927e06fcaa66c0,2026: Global,2026: Global,Pokémon GO Fest,theme,Theme Main,2026-07-11T10:00:00,2026-07-12T19:00:00,,https://leekduck.com/events/pokemon-go-fest-2026-global,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:05Z,active
3c1ded4d30f86157,Master League and Retro Cup: Great League Edition | Forever Forward,Master League and Retro Cup: Great League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-07-14T20:00:00Z,2026-07-21T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_master-league_retro-cup-great-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:54Z,active
c10e578f89aff1d0,Weekend Event,Weekend Event,Event,theme,Theme Event A,2026-07-18T10:00:00,2026-07-18T20:00:00,2026-07-19T10:00:00,https://leekduck.com/events/weekend-event-july-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:06Z,active
c160c4678b8f905a,"Great League, Ultra League, and Master League | Forever Forward","Great League, Ultra League, and Master League | Forever Forward",GO Battle League,gbl,GO Battle League,2026-07-21T20:00:00Z,2026-07-28T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_ultra-league_master-league-split-2,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:54Z,active
ed835b6291fd0c10,Great League and Master Premier | Forever Forward,Great League and Master Premier | Forever Forward,GO Battle League,gbl,GO Battle League,2026-07-28T20:00:00Z,2026-08-04T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_master-premier,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:54Z,active
a2a784b25de5a4a4,Ultra League and Weather Cup: Great League Edition | Forever Forward,Ultra League and Weather Cup: Great League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-08-04T20:00:00Z,2026-08-11T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_ultra-league_weather-cup-great-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:55Z,active
4dfdd53b61416d32,Hatch Day,Hatch Day,Event,theme,Theme Event A,2026-08-08T11:00:00,,2026-08-08T14:00:00,https://leekduck.com/events/hatch-day-august-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:06Z,active
e8d206feaa00b8f7,Master League and Evolution Cup: Great League Edition | Forever Forward,Master League and Evolution Cup: Great League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-08-11T20:00:00Z,2026-08-18T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_master-league_evolution-cup-great-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:56Z,active
f4ff4ab2d29e239f,August Community Day,August Community Day,Community Day,community,Community Day,2026-08-15T14:00:00,,2026-08-15T17:00:00,https://leekduck.com/events/august-communityday2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:06Z,active
42dafa5a0278b073,Great League and Scroll Cup: Great League Edition | Forever Forward,Great League and Scroll Cup: Great League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-08-18T20:00:00Z,2026-08-25T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_scroll-cup-great-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:56Z,active
47fb0039a0d29d1b,Raid Day,Raid Day,Raid Day,raids,5-Star Raid Battles,2026-08-22T14:00:00,,2026-08-22T17:00:00,https://leekduck.com/events/raid-day-august-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:06Z,active
2566819a3b61d8ed,"Great League, Ultra League, and Master League | Forever Forward","Great League, Ultra League, and Master League | Forever Forward",GO Battle League,gbl,GO Battle League,2026-08-25T20:00:00Z,2026-09-01T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_ultra-league_master-league-split-3,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:57Z,active
aa22fe2054ec87c5,"Great League, Ultra League, and Master League: Mega Edition | Forever Forward","Great League, Ultra League, and Master League: Mega Edition | Forever Forward",GO Battle League,gbl,GO Battle League,2026-09-01T20:00:00Z,2026-09-08T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_ultra-league_master-league-mega-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:57Z,active
7e05259143c79f3c,Example Event Template (Auto ToC Demo),Example Event Template (Auto ToC Demo),Event,theme,Theme Event A,2026-12-02T20:00:00,,2026-12-03T20:00:00,https://leekduck.com/events/example_event,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:58Z,active
20a4923d445059a2,Happening Now,Happening Now,Research,theme,Theme Event A,2027-03-02T00:00:00,2027-03-02T00:00:00,2027-03-03T00:00:00,https://leekduck.com/events/go-tour-fairy-type-timed-research,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,active
